Address,Date,Genre,Performer,Venue
"7 Bandurskiego,Lodz,Poland","Friday, June 23, 2023,| 07:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Atlas Arena
"Krakow,Poland","Saturday, June 24, 2023,| 08:00PM,",Alternative Rock / Indie,Kevin Morby,Kwadrat
"7 Bandurskiego,Lodz,Poland","Sunday, June 25, 2023,| 12:00PM,",Pop Music / Soft Rock,Disney Princess: The Concert,Atlas Arena
"Warsaw,Poland","Sunday, June 25, 2023,| 08:00PM,",Pop Music / Soft Rock,Foals,Letnia Scena Progresji
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Tuesday, June 27, 2023,| 05:00PM,",Soul / R&B,Beyoncé,National Stadium
"Warsaw,Poland","Monday, June 26, 2023,| 08:00PM,",Alternative Rock / Indie,Built To Spill,Niebo
"Gdansk,Poland","Sunday, June 25, 2023,| 08:00PM,",Electronic Music / Dance,Dance With The Dead,Klub Drizzly Grizzly
"Poznan,Poland","Tuesday, June 27, 2023,| 08:00PM,",Alternative Rock / Indie,Built To Spill,Tama
"ul. 11 Listopada 22,Warsaw,Poland","Tuesday, June 27, 2023,| 07:00PM,",Alternative Rock / Indie,Dead Poet Society,Hydrozagadka
"Gdynia,Poland","Wednesday, June 28, 2023 - Sat, July 01, 2023",Festival,"Kendrick Lamar,Arctic Monkeys,OneRepublic,Machine Gun Kelly,Queens Of The Stone Age",Gdynia-Kosakowo Airfield
"ul. Fort Wola 22,Warsaw,Poland","Friday, June 30, 2023,| 08:00PM,",Hard Rock / Heavy Metal,Asking Alexandria,Klub Progresja
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Wednesday, June 28, 2023,| 05:00PM,",Soul / R&B,Beyoncé,National Stadium
"ul. Żwirki i Wigury 99a,Warsaw,Poland","Tuesday, July 04, 2023,| 08:00PM,",Hard Rock / Heavy Metal,The Ghost Inside,Proxima
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Sunday, July 02, 2023,| 05:00PM,",Pop Music / Soft Rock,"Harry Styles,Wet Leg",National Stadium
"Warsaw,Poland","Saturday, July 08, 2023,| 07:00PM,",Festival,"Lil Uzi Vert,Rae Sremmurd,Kodak Black",Stadion Legii
"ul. Żwirki i Wigury 99a,Warsaw,Poland","Sunday, July 09, 2023,| 08:00PM,",Jazz / Blues,Vintage Trouble,Proxima
"ul. Złota 9,Warsaw,Poland","Monday, July 10, 2023",Rap / Hip-Hop,Night Lovell,Palladium
"Krakow,Poland","Tuesday, July 11, 2023,| 08:00PM,",Punk / Garage Rock,Show Me the Body,Klub Zaścianek
"Krakow,Poland","Tuesday, July 11, 2023",Rap / Hip-Hop,Night Lovell,Kwadrat
"ul. 11 Listopada 22,Warsaw,Poland","Thursday, July 13, 2023,| 08:00PM,",Punk / Garage Rock,Show Me the Body,Hydrozagadka
"Warsaw,Poland","Wednesday, July 12, 2023,| 09:00PM,",Alternative Rock / Indie,Ben Howard,Letnia Scena Progresji
"Wroclaw,Poland","Wednesday, July 12, 2023,| 08:00PM,",Punk / Garage Rock,Show Me the Body,Klub Łącznik
"Krakow,Poland","Thursday, July 13, 2023,| 08:00PM,",Pop Music / Soft Rock,Zucchero,Tauron Arena Krakow
"Krakow,Poland","Friday, July 14, 2023",Hard Rock / Heavy Metal,Airbourne,Kwadrat
"Warsaw,Poland","Saturday, July 15, 2023,| 08:00PM,",Alternative Rock / Indie,Tash Sultana,Letnia Scena Progresji
"Al. Ksiecia J. Poniatowskiego 1,Warsaw,Poland","Sunday, July 16, 2023,| 05:00PM,",Pop Music / Soft Rock,Pink,National Stadium
"Krakow,Poland","Sunday, July 16, 2023",Hard Rock / Heavy Metal,Soulfly,Kwadrat
